time_ms,cpu_usage,active_workers,completed
8736,100,5,269
8746,100,5,269
8756,100,5,269
8766,100,5,269
8777,100,5,269
8787,100,5,269
8797,100,5,269
8807,100,5,269
8817,100,5,269
8828,100,5,269
8838,100,5,269
8848,90,4,273
8858,75,5,274
8869,75,5,274
8879,75,5,274
8890,75,5,274
8900,75,5,274
8910,75,5,274
8920,75,5,274
8930,75,5,274
8941,75,5,274
8951,75,5,274
8961,75,5,274
8971,75,5,274
8981,75,5,274
8992,75,5,274
9002,75,5,274
9012,75,5,274
9022,75,5,274
9032,75,5,274
9042,100,5,275
9053,85,6,279
9063,95,7,279
9073,95,7,279
9083,95,7,279
9093,95,7,279
9104,95,7,279
9114,95,7,279
9124,95,7,279
9134,95,7,279
9144,95,7,279
9154,95,7,279
9165,95,7,279
9175,95,7,279
9185,95,7,279
9195,95,7,279
9205,95,7,279
9215,95,7,279
9226,95,7,279
9236,95,7,279
9246,80,8,280
9256,95,7,286
9267,95,7,286
9277,95,7,286
9287,95,7,286
9297,95,7,286
9308,95,7,286
9318,95,7,286
9328,95,7,286
9339,95,7,286
9349,95,7,286
9359,95,7,286
9369,95,7,286
9379,95,7,286
9390,95,7,286
9400,95,7,286
9410,95,7,286
9420,95,7,286
9431,95,7,286
9441,95,7,286
9451,95,7,291
9461,75,5,293
9472,75,5,293
9482,75,5,293
9492,75,5,293
9502,75,5,293
9513,75,5,293
9523,75,5,293
9533,75,5,293
9543,75,5,293
9553,75,5,293
9564,75,5,293
9574,75,5,293
9584,75,5,293
9595,75,5,293
9605,75,5,293
9615,75,5,293
9625,75,5,293
9636,75,5,293
9646,100,5,295
9656,100,5,298
9667,100,5,298
9677,100,5,298
9687,100,5,298
9697,100,5,298
9708,100,5,298
9718,100,5,298
9728,100,5,298
9738,100,5,298
9749,100,5,298
9759,100,5,298
9770,100,5,298
9780,100,5,298
9790,100,5,298
9800,100,5,298
9811,100,5,298
9821,100,5,298
9831,100,5,298
9842,100,5,298
9852,100,5,302
9862,100,5,303
9872,100,5,303
9883,100,5,303
9893,100,5,303
9903,100,5,303
9914,100,5,303
9924,100,5,303
9934,100,5,303
9944,100,5,303
9955,100,5,303
9965,100,5,303
9975,100,5,303
9986,100,5,303
9996,100,5,303
10006,100,5,303
10017,100,5,303
10027,100,5,303
10037,100,5,303
10047,95,7,305
10058,80,8,308
10068,80,8,308
10078,80,8,308
10088,80,8,308
10099,80,8,308
10109,80,8,308
10119,80,8,308
10130,80,8,308
10140,80,8,308
10150,80,8,308
10160,80,8,308
10172,80,8,308
10183,80,8,308
10194,80,8,308
10204,80,8,308
10214,80,8,308
10225,80,8,308
10235,80,8,308
10245,95,7,310
10256,100,5,316
10266,100,5,316
10276,100,5,316
10286,100,5,316
10297,100,5,316
10307,100,5,316
10317,100,5,316
10327,100,5,316
10338,100,5,316
10348,100,5,316
10358,100,5,316
10368,100,5,316
10379,100,5,316
10389,100,5,316
10399,100,5,316
10410,100,5,316
10420,100,5,316
10430,100,5,316
10440,100,5,316
10450,85,6,320
10460,80,8,321
10471,80,8,321
10481,80,8,321
10491,80,8,321
10501,80,8,321
10512,80,8,321
10522,80,8,321
10532,80,8,321
10542,80,8,321
10552,80,8,321
10562,80,8,321
10573,80,8,321
10583,80,8,321
10593,80,8,321
10604,80,8,321
10614,80,8,321
10624,80,8,321
10634,80,8,321
10644,80,8,321
10655,70,7,328
10665,95,7,329
10676,95,7,329
10686,95,7,329
10696,95,7,329
10707,95,7,329
10717,95,7,329
10727,95,7,329
10737,95,7,329
10747,95,7,329
10758,95,7,329
10768,95,7,329
10779,95,7,329
10789,95,7,329
10799,95,7,329
10810,95,7,329
10820,95,7,329
10830,95,7,329
10840,95,7,329
10851,100,5,334
10861,90,4,336
10871,90,4,336
10882,90,4,336
10892,90,4,336
10902,90,4,336
10912,90,4,336
10922,90,4,336
10933,90,4,336
10943,90,4,336
10953,90,4,336
10963,90,4,336
10973,90,4,336
10984,90,4,336
10995,90,4,336
11006,90,4,336
11016,90,4,336
11026,90,4,336
11037,90,4,336
11047,80,3,337
11057,55,3,340
11067,100,5,340
11078,100,5,340
11088,100,5,340
11098,100,5,340
11108,100,5,340
11118,100,5,340
11129,100,5,340
11139,100,5,340
11149,100,5,340
11159,100,5,340
11169,100,5,340
11180,100,5,340
11190,100,5,340
11200,100,5,340
11210,100,5,340
11220,100,5,340
11231,100,5,340
11241,100,5,340
11251,65,4,341
11261,80,8,345
11272,80,8,345
11282,80,8,345
11292,80,8,345
11302,80,8,345
11312,80,8,345
11323,80,8,345
11333,80,8,345
11343,80,8,345
11353,80,8,345
11364,80,8,345
11374,80,8,345
11384,80,8,345
11394,80,8,345
11404,80,8,345
11415,80,8,345
11425,80,8,345
11435,80,8,345
11445,80,8,345
11456,95,7,349
11466,95,7,353
11476,95,7,353
11486,95,7,353
11496,95,7,353
11507,95,7,353
11517,95,7,353
11527,95,7,353
11537,95,7,353
11548,95,7,353
11558,95,7,353
11568,95,7,353
11578,95,7,353
11588,95,7,353
11598,95,7,353
11609,95,7,353
11619,95,7,353
11629,95,7,353
11639,95,7,353
11650,95,7,353
11660,85,6,357
11670,100,5,360
11680,100,5,360
11691,100,5,360
11701,100,5,360
11711,100,5,360
11722,100,5,360
11732,100,5,360
11742,100,5,360
11753,100,5,360
11763,100,5,360
11773,100,5,360
11783,100,5,360
11793,100,5,360
11804,100,5,360
11814,100,5,360
11824,100,5,360
11835,100,5,360
11845,100,5,360
11855,90,4,361
11865,95,7,365
11875,95,7,365
11885,95,7,365
11896,95,7,365
11906,95,7,365
11916,95,7,365
11927,95,7,365
11937,95,7,365
11948,95,7,365
11958,95,7,365
11968,95,7,365
11979,95,7,365
11990,95,7,365
12000,95,7,365
12011,95,7,365
12022,95,7,365
12033,95,7,365
12044,95,7,365
12054,95,7,365
12064,50,5,371
12075,70,7,372
12085,70,7,372
12095,70,7,372
12105,70,7,372
12116,70,7,372
12126,70,7,372
12136,70,7,372
12146,70,7,372
12157,70,7,372
12167,70,7,372
12177,70,7,372
12187,70,7,372
12197,70,7,372
12207,70,7,372
12218,70,7,372
12232,70,7,372
12243,70,7,372
12254,70,7,372
12265,75,5,376
12275,100,5,379
12286,100,5,379
12296,100,5,379
12306,100,5,379
12316,100,5,379
12326,100,5,379
12337,100,5,379
12347,100,5,379
12357,100,5,379
12367,100,5,379
12378,100,5,379
12388,100,5,379
12398,100,5,379
12408,100,5,379
12419,100,5,379
12429,100,5,379
12439,100,5,379
12449,100,5,379
12459,75,5,381
12469,95,7,384
12480,95,7,384
12490,95,7,384
12500,95,7,384
12510,95,7,384
12520,95,7,384
12531,95,7,384
12541,95,7,384
12551,95,7,384
12561,95,7,384
12571,95,7,384
12581,95,7,384
12592,95,7,384
12602,95,7,384
12612,95,7,384
12622,95,7,384
12633,95,7,384
12643,95,7,384
12653,95,7,384
12663,100,5,388
12673,100,5,391
12684,100,5,391
12694,100,5,391
12704,100,5,391
12715,100,5,391
12725,100,5,391
12735,100,5,391
12746,100,5,391
12756,100,5,391
12766,100,5,391
12776,100,5,391
12787,100,5,391
12797,100,5,391
12807,100,5,391
12817,100,5,391
12828,100,5,391
12838,100,5,391
12848,100,5,391
12858,100,5,391
12868,100,5,393
12879,100,5,396
12889,100,5,396
12900,100,5,396
12910,100,5,396
12921,100,5,396
12931,100,5,396
12941,100,5,396
12952,100,5,396
12962,100,5,396
12972,100,5,396
